name,cuisine_type,foursquare_v1,yelp_url,menupages_url,grubhub_url,address_description,address_1,city_town,state_province,postal_code,phone,fax,website_url
Calypso Cafe,Caribbean,153447,http://www.yelp.com/biz/calypso-cafe-chicago,http://chicago.menupages.com/restaurants/calypso-cafe/,,Harper Court,5211 S Harper Ave,Chicago,IL,60615,(773) 955-0229,,http://www.calypsocafechicago.com
Carmine's,Italian,65833,http://www.yelp.com/biz/carmines-chicago,http://chicago.menupages.com/restaurants/carmines/,,,1043 N Rush St,Chicago,IL,60611,(312) 988-7676,,http://www.rosebudrestaurants.com
Carnivale,Latin American,69096,http://www.yelp.com/biz/carnivale-chicago-2,http://chicago.menupages.com/restaurants/carnivale/,,,702 W Fulton St,Chicago,IL,60661,(312) 850-5005,,http://www.carnivalechicago.com
Carson's Ribs & Steaks Downtown,Barbeque,74295,http://www.yelp.com/biz/carsons-ribs-and-steaks-downtown-chicago,http://chicago.menupages.com/restaurants/carsons/,,,612 N Wells St,Chicago,IL,60610,(312) 280-9200,,http://www.ribs.com
Catch 35,Seafood,376753,http://www.yelp.com/biz/catch-35-chicago,http://chicago.menupages.com/restaurants/catch-thirty-five/,,,35 W Wacker Dr,Chicago,IL,60601,(312) 346-3500,,http://www.catch35.com
Cedars Mediterranean Kitchen,Middle Eastern,172421,http://www.yelp.com/biz/cedars-mediterranean-kitchen-chicago,http://chicago.menupages.com/restaurants/cedars/,,,1206 E 53rd St,Chicago,IL,60615,(773) 324-6227,,http://www.eatcedars.com
Chalkboard,American (New),237973,http://www.yelp.com/biz/chalkboard-chicago,http://chicago.menupages.com/restaurants/chalkboard/,,,4343 N Lincoln Ave,Chicago,IL,60618,(773) 477-7144,,http://www.chalkboardrestaurant.com
Chant,Asian Fusion,978411,http://www.yelp.com/biz/chant-chicago,http://chicago.menupages.com/restaurants/chant/,,,1509 E 53rd St,Chicago,IL,60615,(773) 955-2200,,http://www.chantchicago.com
Chicago Chop House,Steakhouses,3195,http://www.yelp.com/biz/chicago-chop-house-chicago,http://chicago.menupages.com/restaurants/chicago-chop-house/,,,60 W Ontario St,Chicago,IL,60610,(312) 787-7100,,http://www.chicagochophouse.com/homehtm
Chief O'Neill's Pub & Restaurant,Irish,121327,http://www.yelp.com/biz/chief-oneills-pub-and-restaurant-chicago,http://chicago.menupages.com/restaurants/chief-oneills-pub/,,,3471 N Elston Ave,Chicago,IL,60618,(773) 583-3066,,http://www.chiefoneillspub.com
Cholie's Pizza,Pizza,955181,http://www.yelp.com/biz/cholies-pizza-chicago-3,http://chicago.menupages.com/restaurants/cholies-pizza/,,,1601 E 53rd St,Chicago,IL,60615,(773) 684-8688
Crofton On Wells,American (New),178205,http://www.yelp.com/biz/crofton-on-wells-chicago,http://chicago.menupages.com/restaurants/crofton-on-wells/,,,535 N Wells St,Chicago,IL,60610,(312) 755-1790,,http://www.croftononwells.com
Edwardo's of Hyde Park,Pizza,311438,http://www.yelp.com/biz/edwardos-of-hyde-park-chicago,http://chicago.menupages.com/restaurants/edwardos-natural-pizza-2/,,,1321 E 57th St,Chicago,IL,60637,(773) 241-7960
Erwin,American (New),154336,http://www.yelp.com/biz/erwin-chicago,http://chicago.menupages.com/restaurants/erwin/,,,2925 N Halsted St,Chicago,IL,60657,(773) 528-7200,,http://www.erwincafe.com/
Ethiopian Diamond Restaurant & Bar,Ethiopian,1212776,http://www.yelp.com/biz/ethiopian-diamond-restaurant-and-bar-chicago,,,,7537 N Clark St,Chicago,IL,60626,(773) 764-2200,,http://www.ethiopiandiamondcuisine.com
Ethiopian Diamond Restaurant,Ethiopian,109504,http://www.yelp.com/biz/ethiopian-diamond-restaurant-chicago,http://chicago.menupages.com/restaurants/ethiopian-diamond/,,,6120 N Broadway St,Chicago,IL,60660,(773) 338-6100,,http://www.ethiopiandiamondcuisine.com
Everest,French,660851,http://www.yelp.com/biz/everest-chicago,http://chicago.menupages.com/restaurants/everest/,,One Financial Place,440 S LaSalle St Fl 40,Chicago,IL,60605,(312) 663-8920,,http://www.everestrestaurant.com
Frontera Grill,Mexican,7612,http://www.yelp.com/biz/frontera-grill-chicago,http://chicago.menupages.com/restaurants/frontera-grill/,,,445 N Clark St,Chicago,IL,60654,(312) 661-1434,,http://www.rickbayless.com/restaurants/grillhtml
Gene & Georgetti,Italian,213188,http://www.yelp.com/biz/gene-and-georgetti-chicago,http://chicago.menupages.com/restaurants/gene-georgetti/,,,500 N Franklin St,Chicago,IL,60610,(312) 527-3718,,http://www.geneandgeorgetti.com
Gibsons Bar & Steakhouse,Steakhouses,148283,http://www.yelp.com/biz/gibsons-bar-and-steakhouse-chicago,http://chicago.menupages.com/restaurants/gibsons-steakhouse/,,,1028 N Rush St,Chicago,IL,60611,(312) 266-8999,,http://www.gibsonssteakhouse.com
Gino's East,Pizza,326362,http://www.yelp.com/biz/ginos-east-chicago,http://chicago.menupages.com/restaurants/ginos-east-3/,,,2801 N Lincoln Ave,Chicago,IL,60657,(773) 327-3737,,http://www.ginoseast.com/
Gino's East,Pizza,113766,http://www.yelp.com/biz/ginos-east-chicago-3,http://chicago.menupages.com/restaurants/ginos-east/,,,633 N Wells St,Chicago,IL,60654,(312) 943-1124,,http://www.ginoseast.com
Gino's East,Pizza,43572,http://www.yelp.com/biz/ginos-east-chicago-4,http://chicago.menupages.com/restaurants/ginos-east-2/,,,8725 W Higgins Rd,Chicago,IL,60686,(773) 444-2244,,http://www.ginoseast.com
Gino's East,Pizza,45048,http://www.yelp.com/biz/ginos-east-chicago-5,http://chicago.menupages.com/restaurants/ginos-east-4/,,,162 E Superior St,Chicago,IL,60611,(312) 266-3337,,http://www.ginoseast.com
Giordano's,Pizza,484305,http://www.yelp.com/biz/giordanos-chicagos-world-famous-stuffed-pizza-chicago,http://chicago.menupages.com/restaurants/giordanos-7/,,,5309 S Blackstone Ave,Chicago,IL,60686,(773) 947-0200,,http://www.giordanos.com
Girl & the Goat,American (New),5136756,http://www.yelp.com/biz/girl-and-the-goat-chicago,http://chicago.menupages.com/restaurants/girl-the-goat/,,,809 W Randolph St,Chicago,IL,60607,(312) 492-6262,,http://www.girlandthegoat.com
Goose Island BrewPub,Bars,8852,http://www.yelp.com/biz/goose-island-brewpub-chicago,http://chicago.menupages.com/restaurants/goose-island-brew-pub/,,,1800 N Clybourn Ave,Chicago,IL,60614,(312) 915-0071,,http://www.gooseisland.com/pages/clybourn_brewpub/65php
Goose Island Wrigleyville,Restaurants,66356,http://www.yelp.com/biz/goose-island-wrigleyville-chicago,http://chicago.menupages.com/restaurants/goose-island-brew-pub-2/,,,3535 N Clark St,Chicago,IL,60657,(773) 832-9040,,http://www.gooseisland.com
Graham Elliot,American (New),97692,http://www.yelp.com/biz/graham-elliot-chicago,http://chicago.menupages.com/restaurants/graham-elliot/,,,217 W Huron St,Chicago,IL,60654,(312) 624-9975,,http://www.grahamelliot.com
Green Zebra,Vegetarian,69899,http://www.yelp.com/biz/green-zebra-chicago,http://chicago.menupages.com/restaurants/green-zebra/,,,1460 W Chicago Ave,Chicago,IL,60642,(312) 243-7100,,http://www.greenzebrachicago.com
Heaven On Seven On Wabash,Cajun/Creole,109056,http://www.yelp.com/biz/heaven-on-seven-on-wabash-chicago,http://chicago.menupages.com/restaurants/heaven-on-seven-2/,,,111 N Wabash Ave Ste 700,Chicago,IL,60602,(312) 263-6443,,http://www.heavenonseven.com
Heaven On Seven,Southern,232874,http://www.yelp.com/biz/heaven-on-seven-chicago,http://chicago.menupages.com/restaurants/heaven-on-seven/,,,600 N Michigan Ave,Chicago,IL,60611,(312) 280-7774,,http://www.heavenonseven.com
HomeMade Pizza Co,Pizza,22336398,http://www.yelp.com/biz/homemade-pizza-co-chicago-3,http://chicago.menupages.com/restaurants/homemade-pizza-co-4/,,Hyde Park Shopping Center,1546 E 55th St,Chicago,IL,60615,(773) 493-2000,,http://www.homemadepizza.com
Hopleaf Bar,American (New),12531,http://www.yelp.com/biz/hopleaf-bar-chicago,http://chicago.menupages.com/restaurants/hopleaf/,,,5148 N Clark St,Chicago,IL,60640,(773) 334-9851,,http://www.hopleaf.com
Hot Chocolate,American (Traditional),59451,http://www.yelp.com/biz/hot-chocolate-chicago,http://chicago.menupages.com/restaurants/hot-chocolate/,,,1747 N Damen Ave,Chicago,IL,60647,(773) 489-1747,,http://www.hotchocolatechicago.com
Hot Doug's,Fast Food,36866,http://www.yelp.com/biz/hot-dougs-chicago,http://chicago.menupages.com/restaurants/hot-dougs/,,,3324 N California Ave,Chicago,IL,60618,(773) 279-9550,,http://www.hotdougs.com
Hugo's Frog Bar,Seafood,81362,http://www.yelp.com/biz/hugos-frog-bar-chicago,http://chicago.menupages.com/restaurants/hugos-frog-bar-fish-house/,,,1024 N Rush St,Chicago,IL,60611,(312) 640-0999,,http://www.hugosfrogbar.com
Hyde Park Gyros,American (Traditional),2484122,http://www.yelp.com/biz/hyde-park-gyros-chicago,http://chicago.menupages.com/restaurants/hyde-park-gyros/,,,1368 East 53rd St,Chicago,IL,60615,(773) 947-8229
India House Restaurant,Indian,62135,http://www.yelp.com/biz/india-house-restaurant-chicago-2,http://chicago.menupages.com/restaurants/india-house/,,,59 W Grand Ave,Chicago,IL,60610,(312) 645-9500,,http://www.indiahousechicago.com
Japonais Restaurant,Japanese,12136,http://www.yelp.com/biz/japonais-restaurant-chicago,http://chicago.menupages.com/restaurants/japonais/,,,600 W Chicago Ave,Chicago,IL,60610,(312) 822-9600,,http://www.japonaischicago.com
Keefer's Restaurant,Steakhouses,78981,http://www.yelp.com/biz/keefers-restaurant-chicago,http://chicago.menupages.com/restaurants/keefers/,,,20 W Kinzie St,Chicago,IL,60610,(312) 467-9525,,http://keefersrestaurant.com
Kiki's Bistro,French,109923,http://www.yelp.com/biz/kikis-bistro-chicago,http://chicago.menupages.com/restaurants/kikis-bistro/,,,900 N Franklin St,Chicago,IL,60610,(312) 335-5454,,http://www.kikisbistro.com
Kikuya Japanese Restaurant,Japanese,628276,http://www.yelp.com/biz/kikuya-japanese-restaurant-chicago,http://chicago.menupages.com/restaurants/kikuya/,,,1601 E 55th St,Chicago,IL,60615,(773) 667-3727,,http://www.kikuyaonline.com
Kuma's Corner,Pubs,42396,http://www.yelp.com/biz/kumas-corner-chicago,http://chicago.menupages.com/restaurants/kumas-corner/,,,2900 W Belmont Ave,Chicago,IL,60618,(773) 604-8769,,http://www.kumascorner.com
L2O,Seafood,265478,http://www.yelp.com/biz/l2o-chicago,http://chicago.menupages.com/restaurants/l2o/,,,2300 N Lincoln Park West,Chicago,IL,60614,(773) 868-0002,,http://www.l2orestaurant.com
La Cantina,Italian,1328018,http://www.yelp.com/biz/la-cantina-chicago,http://chicago.menupages.com/restaurants/la-cantina/,,,71 W Monroe St,Chicago,IL,60603,(312) 332-7005,,http://www.lacantina-chicago.com
La Petite Folie,French,3719904,http://www.yelp.com/biz/la-petite-folie-chicago,http://chicago.menupages.com/restaurants/la-petite-folie/,,,1504 E 55th St,Chicago,IL,60615,(773) 493-1394,,http://www.lapetitefolie.com/
La Sardine,French,832585,http://www.yelp.com/biz/la-sardine-chicago,http://chicago.menupages.com/restaurants/la-sardine/,,,111 N Carpenter St,Chicago,IL,60607,(312) 421-2800,,http://lasardine.com/
Lao Beijing,Chinese,1139317,http://www.yelp.com/biz/lao-beijing-chicago,http://chicago.menupages.com/restaurants/lao-beijing/,,,2138 S Archer Ave,Chicago,IL,60616,(312) 881-0168,,http://www.tonygourmetgroup.com/
Lao Shanghai Restaurant,Chinese,386035,http://www.yelp.com/biz/lao-shanghai-restaurant-chicago,,,,2163 S China Pl,Chicago,IL,60616,(312) 808-0830
Lao Sze Chuan,Chinese,42638,http://www.yelp.com/biz/lao-sze-chuan-chicago-2,http://chicago.menupages.com/restaurants/lao-sze-chuan/,,,2172 S Archer Ave,Chicago,IL,60616,(312) 326-5040,,http://www.TonyGourmetGroup.com
Lao You Ju,Lounges,11416059,http://www.yelp.com/biz/lao-you-ju-chicago,,,,2002 S Wentworth Ave,Chicago,IL,60616,(312) 225-7818
Le Bouchon,French,490101,http://www.yelp.com/biz/le-bouchon-chicago,http://chicago.menupages.com/restaurants/le-bouchon/,,,1958 N Damen Ave,Chicago,IL,60647,(773) 862-6600,,http://www.lebouchonofchicago.com
Le Colonial,Vietnamese,7677,http://www.yelp.com/biz/le-colonial-chicago,http://chicago.menupages.com/restaurants/le-colonial/,,,937 N Rush St,Chicago,IL,60611,(312) 255-0088,,http://www.lecolonialchicago.com
Leona's Restaurant,Italian,85486,http://www.yelp.com/biz/leonas-restaurant-chicago,http://chicago.menupages.com/restaurants/leonas-6/,,,1236 E 53rd St,Chicago,IL,60615,(773) 363-2600,,http://www.leonas.com
Les Nomades,French,223325,http://www.yelp.com/biz/les-nomades-chicago,http://chicago.menupages.com/restaurants/les-nomades/,,,222 E Ontario St,Chicago,IL,60611,(312) 649-9010,,http://www.lesnomadesnet
Longman & Eagle,Gastropubs,535071,http://www.yelp.com/biz/longman-and-eagle-chicago,http://chicago.menupages.com/restaurants/longman-eagle/,,,2657 N Kedzie Ave,Chicago,IL,60647,(773) 276-7110,,http://www.longmanandeagle.com
Lou Malnati's Pizzeria,Pizza,1109466,http://www.yelp.com/biz/lou-malnatis-pizza-chicago,http://chicago.menupages.com/restaurants/lou-malnatis-pizzeria-3/,,,3859 W Ogden Ave,Chicago,IL,60623,(773) 762-0800,,http://www.loumalnatis.com/
Lou Malnati's Pizzeria,Pizza,153168,http://www.yelp.com/biz/lou-malnatis-pizzeria-chicago,http://chicago.menupages.com/restaurants/lou-malnatis-pizzeria/,,,439 N Wells St,Chicago,IL,60654,(312) 828-9800,,http://www.loumalnatis.com
Lou Malnati's Pizzeria,Pizza,512950,http://www.yelp.com/biz/lou-malnatis-pizzeria-chicago-3,http://chicago.menupages.com/restaurants/lou-malnatis-2/,,,1520 N Damen St,Chicago,IL,60622,(773) 395-2400,,http://www.loumalnatis.com
Lou Malnati's Pizzeria,Pizza,127386,http://www.yelp.com/biz/lou-malnatis-pizzeria-chicago-4,http://chicago.menupages.com/restaurants/lou-malnatis-pizzeria-2/,,,958 W Wrightwood,Chicago,IL,60614,(773) 832-4030,,http://www.loumalnatis.com
Lou Mitchell's Restaurant & Bakery,Breakfast & Brunch,52233,http://www.yelp.com/biz/lou-mitchells-restaurant-and-bakery-chicago-2,http://chicago.menupages.com/restaurants/lou-mitchells/,,,565 W Jackson Blvd,Chicago,IL,60661,(312) 939-3111,,http://www.loumitchellsrestaurant.com
Lula Café,American (New),20162,http://www.yelp.com/biz/lula-cafe-chicago,http://chicago.menupages.com/restaurants/lula-cafe/,,,2537 N Kedzie Blvd,Chicago,IL,60647,(773) 489-9554,,http://www.lulacafe.com
MK Restaurant,American (New),48133,http://www.yelp.com/biz/mk-restaurant-chicago,http://chicago.menupages.com/restaurants/mk/,,,868 N Franklin St,Chicago,IL,60610,(312) 482-9179,,http://www.mkchicago.com
Manny's Cafeteria & Delicatessen,Delis,41563,http://www.yelp.com/biz/mannys-coffee-shop-and-deli-chicago,http://chicago.menupages.com/restaurants/mannys-coffee-shop-deli/,,,1141 S Jefferson St,Chicago,IL,60607,(312) 939-2855,,http://www.mannysdeli.com
Maravillas,Mexican,76195,http://www.yelp.com/biz/maravillas-chicago-2,http://chicago.menupages.com/restaurants/maravillas/,,,5506 S Lake Park Ave,Chicago,IL,60637,(773) 955-7680
Medici On 57th,Bakeries,50645,http://www.yelp.com/biz/medici-on-57th-chicago,http://chicago.menupages.com/restaurants/medici/,,,1327 E 57th St,Chicago,IL,60637,(773) 667-7394,,http://medici57.com
Mellow Yellow,American (Traditional),146944,http://www.yelp.com/biz/mellow-yellow-chicago,http://chicago.menupages.com/restaurants/mellow-yellow/,,,1508 E 53rd St,Chicago,IL,60615,(773) 667-2000
Mirabell Restaurant & Lounge,German,2314514,http://www.yelp.com/biz/mirabell-restaurant-and-lounge-chicago,http://chicago.menupages.com/restaurants/mirabell-restaurant-lounge/,,,3454 W Addison St,Chicago,IL,60618,(773) 463-1962,,http://www.mirabellrestaurant.com
Mon Ami Gabi,French,47265,http://www.yelp.com/biz/mon-ami-gabi-chicago,http://chicago.menupages.com/restaurants/mon-ami-gabi/,,,2300 N Lincoln Park West,Chicago,IL,60614,(773) 348-8886,,http://www.monamigabi.com
Morry's Deli,Delis,104250,http://www.yelp.com/biz/morrys-deli-chicago,http://chicago.menupages.com/restaurants/morrys-deli/,,,5500 S Cornell Ave,Chicago,IL,60637,(773) 363-3800,,http://www.morrysdeli.com/
Mr Beef,Fast Food,845276,http://www.yelp.com/biz/mr-beef-chicago-2,http://chicago.menupages.com/restaurants/mr-beef-on-orleans/,,,3917 N Harlem Ave,Chicago,IL,60634,(773) 283-7444
Mysore Woodlands,Vegetarian,68946,http://www.yelp.com/biz/mysore-woodlands-chicago,,,,2548 W Devon Ave,Chicago,IL,60659,(773) 338-8160,,http://www.mysorewoodlandsinfo/
Naha,American (New),180000,http://www.yelp.com/biz/naha-chicago,http://chicago.menupages.com/restaurants/naha/,,,500 N Clark St,Chicago,IL,60610,(312) 321-6242,,http://www.naha-chicago.com
Nathan's Chicago Style,American (Traditional),991465,http://www.yelp.com/biz/nathans-chicago-style-and-taste-of-jamaica-chicago,http://chicago.menupages.com/restaurants/nathans-chicago-style/,,,1372 E 53rd St,Chicago,IL,60615,(773) 288-5353
Nhu Lan,Vietnamese,73320,http://www.yelp.com/biz/nhu-lan-chicago,http://chicago.menupages.com/restaurants/nhu-lan-bakery-sandwiches/,,,2612 W Lawrence Ave,Chicago,IL,60625,(773) 878-9898,,http://www.nhulansbakery.com
Noodles Etc On Campus,Thai,109270,http://www.yelp.com/biz/noodles-etc-on-campus-chicago,http://chicago.menupages.com/restaurants/noodles-etc/,,,1333 E 57th St,Chicago,IL,60637,(773) 684-2801
North Pond,American (New),382480,http://www.yelp.com/biz/north-pond-chicago,http://chicago.menupages.com/restaurants/north-pond/,,,2610 N Cannon Dr,Chicago,IL,60614,(773) 477-5845,,http://www.northpondrestaurant.com
One Sixtyblue,American (New),106030,http://www.yelp.com/biz/one-sixtyblue-chicago,http://chicago.menupages.com/restaurants/one-sixtyblue/,,,1400 W Randolph St,Chicago,IL,60607,(312) 850-0303,,http://www.onesixtyblue.com
Park 52,American (New),526471,http://www.yelp.com/biz/park-52-chicago,http://chicago.menupages.com/restaurants/park-52/,,,5201 S Harper Ave,Chicago,IL,60615,(773) 241-5200,,http://park52chicago.com
Pegasus Restaurant & Taverna,Greek,97560,http://www.yelp.com/biz/pegasus-restaurant-and-taverna-chicago,http://chicago.menupages.com/restaurants/pegasus/,http://www.grubhub.com/chicago/pegasus-restaurant--taverna-130-s-halsted-chicago/,,130 S Halsted St,Chicago,IL,60661,(312) 226-3377,,http://www.pegasuschicago.com
Pepe's Mexican Food,Mexican,23763615,http://www.yelp.com/biz/pepes-mexican-food-chicago,http://chicago.menupages.com/restaurants/pepes-mexican-restaurant-2/,,,1310 E 53rd St,Chicago,IL,60615,(773) 752-9300
Perennial Virant,American (New),87496,http://www.yelp.com/biz/perennial-virant-chicago-2,http://chicago.menupages.com/restaurants/perennial/,,,1800 N Lincoln Ave,Chicago,IL,60686,(312) 981-7070,,http://www.perennialvirant.com
Piccolo Mondo,Italian,428667,http://www.yelp.com/biz/piccolo-mondo-chicago,http://chicago.menupages.com/restaurants/piccolo-mondo/,,,1642 E 56th St,Chicago,IL,60637,(773) 643-1106,,http://www.piccolomondous
Pizza Capri,Pizza,137916,http://www.yelp.com/biz/pizza-capri-chicago-3,http://chicago.menupages.com/restaurants/pizza-capri-3/,,,1501 E 53rd St,Chicago,IL,60615,(773) 324-7777
Pockets,Sandwiches,224211,http://www.yelp.com/biz/pockets-chicago-7,http://chicago.menupages.com/restaurants/pockets-7/,,,1309 E 53rd St,Chicago,IL,60615,(773) 667-1313,,http://www.pocketsonline.com/
Potbelly,Sandwiches,388581,http://www.yelp.com/biz/potbelly-chicago,http://chicago.menupages.com/restaurants/potbelly-sandwich-works-22/,,,5428 S Lake Park Ave,Chicago,IL,60615,(773) 493-0129,,http://www.potbelly.com
Quartino,Italian,50403,http://www.yelp.com/biz/quartino-chicago,http://chicago.menupages.com/restaurants/quartino/,,,626 N State St,Chicago,IL,60614,(312) 698-5000,,http://www.quartinochicago.com/
Rajun Cajun,Soul Food,70919,http://www.yelp.com/biz/rajun-cajun-chicago,http://chicago.menupages.com/restaurants/rajun-cajun/,,,1459 E 53rd St,Chicago,IL,60615,(773) 955-1145,,http://RajunRestaurant.com
Reza's Restaurant,Middle Eastern,485363,http://www.yelp.com/biz/rezas-restaurant-chicago-2,http://chicago.menupages.com/restaurants/rezas/,,,432 W Ontario St,Chicago,IL,60610,(312) 664-4500,,http://www.rezasrestaurant.com
Reza's Restaurant,Middle Eastern,237848,http://www.yelp.com/biz/rezas-restaurant-chicago-3,http://chicago.menupages.com/restaurants/rezas-2/,,,5255 N Clark St,Chicago,IL,60640,(773) 561-1898,,http://www.rezasrestaurant.com
Ribs 'N Bibs,Barbeque,433360,http://www.yelp.com/biz/ribs-n-bibs-chicago,http://chicago.menupages.com/restaurants/ribs-n-bibs/,,,5300 S Dorchester Ave,Chicago,IL,60615,(773) 493-0400
Rosebud On Rush,Italian,20234,http://www.yelp.com/biz/rosebud-on-rush-chicago,http://chicago.menupages.com/restaurants/rosebud-on-rush/,,,720 N Rush St,Chicago,IL,60611,(312) 266-6444,,http://www.rosebudrestaurants.com/rest3php
Rosebud Prime,Steakhouses,401411,http://www.yelp.com/biz/rosebud-prime-chicago,http://chicago.menupages.com/restaurants/rosebud-prime/,,,1 S Dearborn,Chicago,IL,60605,(312) 384-1900
Rosebud Steakhouse,Steakhouses,138942,http://www.yelp.com/biz/rosebud-steakhouse-chicago,http://chicago.menupages.com/restaurants/rosebud-steakhouse/,,,192 E Walton Pl,Chicago,IL,60611,(312) 397-1000,,http://www.rosebudrestaurants.com
Rosebud Theater District,Italian,423212,http://www.yelp.com/biz/rosebud-theater-district-chicago-2,http://chicago.menupages.com/restaurants/rosebud-express/,,,70 W Madison St,Chicago,IL,60602,(312) 332-9500,,http://rosebudrestaurants.com/rest6php
Rosebud Trattoria,Italian,67176,http://www.yelp.com/biz/rosebud-trattoria-chicago,http://chicago.menupages.com/restaurants/rosebud-trattoria/,,,445 N Dearborn,Chicago,IL,60654,(312) 832-7700,,http://rosebudrestaurants.com/rest9php
Sabatino's Restaurant & Lounge,Italian,65461,http://www.yelp.com/biz/sabatinos-restaurant-and-lounge-chicago,http://chicago.menupages.com/restaurants/sabatinos/,,,4441 W Irving Park Rd,Chicago,IL,60641,(773) 283-8331,,http://www.sabatinoschicago.com
Salonica Restaurant,Diners,72784,http://www.yelp.com/biz/salonica-restaurant-chicago,http://chicago.menupages.com/restaurants/salonica/,,,1440 E 57th St,Chicago,IL,60637,(773) 752-3899
Salpicón,Mexican,7647,http://www.yelp.com/biz/salpicon-chicago,http://chicago.menupages.com/restaurants/salpicon/,,,1252 N Wells St,Chicago,IL,60610,(312) 988-7811,,http://www.salpicon.com
Sammy's Touch,Diners,71603,http://www.yelp.com/biz/sammys-touch-chicago-2,http://chicago.menupages.com/restaurants/sammys-touch/,,,5659 S Cottage Grove Ave,Chicago,IL,60637,(773) 288-2645
